state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,1580,6,3160,3950.0,0.08055988097532522
Alaska,13-Mar,710249,171,7,342,427.5,0.06019015866266619
Arizona,4-Mar,7278717,2019,6,4038,5047.5,0.06934601249093762
Arkansas,12-Mar,3017804,743,8,1486,1857.5,0.061551379745006636
California,26-Jan,39512223,12026,6,24052,30065.0,0.07609037841277622
Colorado,6-Mar,5758736,4173,6,8346,10432.5,0.18115954612262136
Connecticut,8-Mar,3565287,5276,5,31656,39570.0,1.109868574395273
DC,8-Mar,705749,902,5,5412,6765.0,0.9585560872208108
Delaware,11-Mar,973764,593,4,3558,4447.5,0.4567328428654171
Florida,1-Mar,21477737,11111,5,66666,83332.5,0.387994787346544
Georgia,2-Mar,10617423,6160,5,36960,46200.0,0.43513383614837614
Guam,15-Mar,162742,93,9,186,232.5,0.1428641653660395
Hawaii,6-Mar,1415872,319,6,638,797.5,0.056325713058807576
Idaho,14-Mar,1787065,1013,3,10130,12662.5,0.7085640421585113
Illinois,24-Jan,12671821,10357,5,62142,77677.5,0.6129939808966682
Indiana,6-Mar,6732219,3953,5,23718,29647.5,0.440382287028987
Iowa,9-Mar,3155070,786,6,1572,1965.0,0.06228071009518014
Kansas,8-Mar,2913314,698,6,1396,1745.0,0.05989742266024191
Kentucky,7-Mar,4467673,831,6,1662,2077.5,0.04650071748760484
Louisiana,9-Mar,4648794,12496,3,124960,156200.0,3.360011220114292
Maine,12-Mar,1344212,456,7,912,1140.0,0.08480805111098547
Maryland,6-Mar,6045680,3125,5,18750,23437.5,0.3876735123261569
Massachusetts,1-Feb,6939373,11736,5,70416,88020.0,1.2684143077479766
Michigan,11-Mar,9996000,14225,5,85350,106687.5,1.0673019207683074
Minnesota,7-Mar,5639632,865,7,1730,2162.5,0.038344700505281194
Mississippi,12-Mar,2976149,1455,6,2910,3637.5,0.12222170328165693
Missouri,8-Mar,6137428,2291,5,13746,17182.5,0.2799625510881757
Montana,12-Mar,1068778,265,7,530,662.5,0.06198668011504728
Nebraska,7-Mar,1934408,321,5,1926,2407.5,0.12445668132059007
Nevada,5-Mar,3080156,1742,6,3484,4355.0,0.14138894263797028
New Hampshire,2-Mar,1359711,540,6,1080,1350.0,0.09928580411572753
New Jersey,4-Mar,8882190,34124,5,204744,255930.0,2.8813839830041914
New Mexico,11-Mar,2096829,495,5,2970,3712.5,0.17705306441297788
New York,1-Mar,19453561,113704,6,227408,284260.0,1.4612234747149893
North Carolina,3-Mar,10488084,2402,6,4804,6005.0,0.05725545295022427
North Dakota,12-Mar,762062,186,7,372,465.0,0.061018657274604954
Northern Mariana Islands,28-Mar,57476,8,4,48,60.0,0.10439139814879254
Ohio,9-Mar,11689100,3739,5,22434,28042.5,0.2399029865430187
Oklahoma,7-Mar,3956971,1159,4,6954,8692.5,0.21967560540625644
Oregon,28-Feb,4217737,899,9,1798,2247.5,0.05328686923817203
Pennsylvania,6-Mar,12801989,10017,4,60102,75127.5,0.586842403942075
Puerto Rico,13-Mar,3193694,452,5,2712,3390.0,0.1061466752919973
Rhode Island,7-Mar,1059361,806,5,4836,6045.0,0.5706270100560621
South Carolina,7-Mar,5148714,1917,5,11502,14377.5,0.2792444870699751
South Dakota,11-Mar,884659,212,4,1272,1590.0,0.17973026895108737
Tennessee,5-Mar,6833793,3321,6,6642,8302.5,0.12149182745219236
Texas,4-Mar,28995881,6110,5,36660,45825.0,0.15803968846471678
Utah,7-Mar,3205958,1428,6,2856,3570.0,0.11135517059175448
Vermont,8-Mar,623989,461,6,922,1152.5,0.18469876872829488
Virgin Islands,13-Mar,107268,40,8,80,100.0,0.09322444717902822
Virginia,8-Mar,8535519,2407,4,14442,18052.5,0.2114985626533079
Washington,27-Feb,7614893,6966,8,13932,17415.0,0.22869658181671101
West Virginia,17-Mar,1792147,282,5,1692,2115.0,0.11801487266390535
Wisconsin,5-Feb,5822434,2112,7,4224,5280.0,0.09068372436681979
Wyoming,12-Mar,578759,187,5,1122,1402.5,0.24232884499420312
