state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,4113,8,8226,10282.5,0.20971062686804598
Alaska,13-Mar,710249,293,13,586,732.5,0.10313284496000698
Arizona,4-Mar,7278717,3962,11,7924,9905.0,0.13608167483362796
Arkansas,12-Mar,3017804,1569,11,3138,3922.5,0.12997862021522935
California,26-Jan,39512223,24424,11,48848,61060.0,0.15453445886858858
Colorado,6-Mar,5758736,7941,11,15882,19852.5,0.34473710897669213
Connecticut,8-Mar,3565287,14755,9,29510,36887.5,1.0346291897398443
DC,8-Mar,705749,2197,9,4394,5492.5,0.778251191287554
Delaware,11-Mar,973764,2014,7,4028,5035.0,0.5170657366672007
Florida,1-Mar,21477737,22511,11,45022,56277.5,0.26202714001014166
Georgia,2-Mar,10617423,14987,9,29974,37467.5,0.3528869481794217
Guam,15-Mar,162742,135,15,270,337.5,0.2073834658539283
Hawaii,6-Mar,1415872,517,13,1034,1292.5,0.09128650047461917
Idaho,14-Mar,1787065,1464,13,2928,3660.0,0.2048050854333782
Illinois,24-Jan,12671821,24593,9,49186,61482.5,0.4851907235747727
Indiana,6-Mar,6732219,8955,10,17910,22387.5,0.33254265792601223
Iowa,9-Mar,3155070,1995,8,3990,4987.5,0.15807890157746105
Kansas,8-Mar,2913314,1494,10,2988,3735.0,0.12820451211232295
Kentucky,7-Mar,4467673,2210,7,4420,5525.0,0.1236661680476615
Louisiana,9-Mar,4648794,21951,12,43902,54877.5,1.1804674502677468
Maine,12-Mar,1344212,770,13,1540,1925.0,0.1432065775339009
Maryland,6-Mar,6045680,10032,8,20064,25080.0,0.4148416720699739
Massachusetts,1-Feb,6939373,29918,8,59836,74795.0,1.0778351300614624
Michigan,11-Mar,9996000,28059,11,56118,70147.5,0.7017557022809123
Minnesota,7-Mar,5639632,1809,10,3618,4522.5,0.08019140255959964
Mississippi,12-Mar,2976149,3360,9,6720,8400.0,0.2822439333514552
Missouri,8-Mar,6137428,4895,10,9790,12237.5,0.19939134112856396
Montana,12-Mar,1068778,404,14,808,1010.0,0.09450044817539283
Nebraska,7-Mar,1934408,901,8,1802,2252.5,0.11644389394584803
Nevada,5-Mar,3080156,3211,12,6422,8027.5,0.2606199166535721
New Hampshire,2-Mar,1359711,1139,11,2278,2847.5,0.20941950164409937
New Jersey,4-Mar,8882190,71030,11,142060,177575.0,1.9992254162543246
New Mexico,11-Mar,2096829,1407,8,2814,3517.5,0.1677533074943164
New York,1-Mar,19453561,213779,12,427558,534447.5,2.7472990677645086
North Carolina,3-Mar,10488084,5123,10,10246,12807.5,0.12211477329891714
North Dakota,12-Mar,762062,365,11,730,912.5,0.11974091346898284
Northern Mariana Islands,28-Mar,57476,13,12,26,32.5,0.05654534066392929
Ohio,9-Mar,11689100,7791,10,15582,19477.5,0.1666295950928643
Oklahoma,7-Mar,3956971,2263,11,4526,5657.5,0.14297552344962852
Oregon,28-Feb,4217737,1663,14,3326,4157.5,0.09857181706682991
Pennsylvania,6-Mar,12801989,26490,9,52980,66225.0,0.5173024285523132
Puerto Rico,13-Mar,3193694,974,10,1948,2435.0,0.07624399832920749
Rhode Island,7-Mar,1059361,3529,6,7058,8822.5,0.8328133657931527
South Carolina,7-Mar,5148714,3656,11,7312,9140.0,0.17752005646458513
South Dakota,11-Mar,884659,1168,5,7008,8760.0,0.9902120478059908
Tennessee,5-Mar,6833793,6079,12,12158,15197.5,0.22238747939833706
Texas,4-Mar,28995881,15492,9,30984,38730.0,0.13357069578261824
Utah,7-Mar,3205958,2542,12,5084,6355.0,0.19822468042313718
Vermont,8-Mar,623989,759,12,1518,1897.5,0.30409189905591283
Virgin Islands,13-Mar,107268,51,17,102,127.5,0.11886117015326099
Virginia,8-Mar,8535519,6500,8,13000,16250.0,0.19038092469831067
Washington,27-Feb,7614893,10694,15,21388,26735.0,0.35108832126728506
West Virginia,17-Mar,1792147,702,9,1404,1755.0,0.09792723476366615
Wisconsin,5-Feb,5822434,3721,12,7442,9302.5,0.15976995187923126
Wyoming,12-Mar,578759,287,13,574,717.5,0.12397215421272066
