state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Northern Mariana Islands,28-Mar,57476,14,32,28,35,0.060894982
Montana,12-Mar,1068778,457,33,914,1142.5,0.106897784
Hawaii,6-Mar,1415872,621,31,1242,1552.5,0.109649742
Alaska,13-Mar,710249,371,29,742,927.5,0.130588005
Puerto Rico,13-Mar,3193694,1924,12,3848,4810,0.150609294
Virgin Islands,13-Mar,107268,66,33,132,165,0.153820338
Oregon,28-Feb,4217737,2839,24,5678,7097.5,0.168277444
West Virginia,17-Mar,1792147,1238,21,2476,3095,0.172697887
Maine,12-Mar,1344212,1226,23,2452,3065,0.228014629
Guam,15-Mar,162742,150,34,300,375,0.230426073
Wyoming,12-Mar,578759,596,15,1192,1490,0.2574474
Oklahoma,7-Mar,3956971,4127,22,8254,10317.5,0.260742371
Texas,4-Mar,28995881,33369,18,66738,83422.5,0.287704657
Arkansas,12-Mar,3017804,3496,16,6992,8740,0.289614567
North Carolina,3-Mar,10488084,12256,17,24512,30640,0.292141062
Kentucky,7-Mar,4467673,5245,16,10490,13112.5,0.293497308
Idaho,14-Mar,1787065,2106,29,4212,5265,0.294617152
Arizona,4-Mar,7278717,9305,17,18610,23262.5,0.31959616
South Carolina,7-Mar,5148714,6757,21,13514,16892.5,0.328091636
Minnesota,7-Mar,5639632,7851,8,15702,19627.5,0.348028027
California,26-Jan,39512223,56212,17,112424,140530,0.355662095
Missouri,8-Mar,6137428,8916,21,17832,22290,0.36318145
Vermont,8-Mar,623989,907,31,1814,2267.5,0.363387816
Wisconsin,5-Feb,5822434,8566,15,17132,21415,0.367801507
North Dakota,12-Mar,762062,1266,14,2532,3165,0.415320538
Alabama,13-Mar,4903185,8285,19,16570,20712.5,0.422429502
Utah,7-Mar,3205958,5449,18,10898,13622.5,0.424911992
Florida,1-Mar,21477737,37439,23,74878,93597.5,0.435788463
Ohio,9-Mar,11689100,20969,17,41938,52422.5,0.448473364
Nevada,5-Mar,3080156,5594,23,11188,13985,0.454035445
Kansas,8-Mar,2913314,5458,11,10916,13645,0.468366953
New Hampshire,2-Mar,1359711,2588,16,5176,6470,0.475836409
New Mexico,11-Mar,2096829,4031,13,8062,10077.5,0.480606668
Tennessee,5-Mar,6833793,13690,16,27380,34225,0.500819969
Washington,27-Feb,7614893,15462,29,30924,38655,0.507623679
Virginia,8-Mar,8535519,20256,12,40512,50640,0.59328554
Mississippi,12-Mar,2976149,8207,16,16414,20517.5,0.689397607
Georgia,2-Mar,10617423,29711,20,59422,74277.5,0.699581245
Colorado,6-Mar,5758736,16907,18,33814,42267.5,0.73397183
South Dakota,11-Mar,884659,2721,18,5442,6802.5,0.768940349
Indiana,6-Mar,6732219,21033,17,42066,52582.5,0.781057479
Nebraska,7-Mar,1934408,6083,8,12166,15207.5,0.786157832
Iowa,9-Mar,3155070,10111,10,20222,25277.5,0.801170814
Pennsylvania,6-Mar,12801989,50957,20,101914,127392.5,0.995099277
Michigan,11-Mar,9996000,44397,25,88794,110992.5,1.110369148
Maryland,6-Mar,6045680,27117,14,54234,67792.5,1.121337881
Illinois,24-Jan,12671821,65962,14,131924,164905,1.301352031
Delaware,11-Mar,973764,5371,15,10742,13427.5,1.378927543
Louisiana,9-Mar,4648794,29996,29,59992,74990,1.613106539
DC,8-Mar,705749,5322,16,10644,13305,1.885231152
Connecticut,8-Mar,3565287,30621,19,61242,76552.5,2.147162346
Rhode Island,7-Mar,1059361,9933,15,19866,24832.5,2.344101775
Massachusetts,1-Feb,6939373,70271,17,140542,175677.5,2.531604801
New Jersey,4-Mar,8882190,130593,22,261186,326482.5,3.675698223
New York,1-Mar,19453561,321192,26,642384,802980,4.127676162
