State,Day 0,Population,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,19-Mar
South Carolina,7-Mar,5148714,1293,1554,1554,1917,2049,2049,2417,2552,2792,3065,3207,3319,3319,3553,3656,3656,3931,4246,4377,4377,4439,4761,4917,4917,5253,5490,5490,5613,5881,6095,6258,6489,6626,6626,6757,6936,6936,7142,7531,7653,7653,7927,7927,8189,8407,8407,8661,8942,9056,9056,9175,9638,9895,10096,10178,10416,10623,10788,11131,11394,11861,12148,12415,12651,13995,13453,13453,14286,14800,15228,15759,16441,17170,17955,18795,19378,19990,20556,21548,22631,23786,24693,25701,26613,27897,29022,30335,31939,33320,34644,36399,37919,39701,41532,43386,44847,46380,47352,48909,50691
South Dakota,11-Mar,884659,129,165,187,212,240,288,320,393,447,536,626,730,868,988,1168,1311,1411,1542,1635,1685,1755,1858,1956,2040,2147,2212,2245,2313,2373,2449,2535,2588,2631,2668,2721,2779,2905,3144,3393,3517,3614,3663,3732,3792,3887,3959,3987,4027,4085,4177,4250,4356,4468,4563,4586,4653,4710,4793,4866,4960,4993,5034,5067,5162,5247,5277,5367,5438,5471,5523,5604,5665,5742,5833,5898,5928,5966,6050,6109,6158,6225,6297,6326,6353,6419,6479,6535,6626,6681,6716,6764,6826,6893,6978,7028,7063,7105,7163,7242,7336
Tennessee,5-Mar,6833793,2683,2845,3067,3321,3633,3802,4138,4362,4634,4862,5114,5308,5610,5823,6079,6262,6589,6762,7070,7238,7394,7842,8266,8726,9189,9667,9918,10052,10366,10366,11891,12661,13177,13571,13690,13938,14096,14441,14768,14985,15544,16111,16370,16699,16970,17288,17388,18011,18378,18532,18961,19394,19789,20145,20607,20965,21306,21679,22085,22566,23006,23554,24375,24822,25120,25520,26071,26381,26944,27575,28061,28538,29126,29541,30432,31160,31830,32143,32829,34017,34446,35102,35553,36303,37235,38034,39444,40172,40172,42297,43509,45315,46890,48712,50140,51431,52155,53514,55986,57591
Texas,4-Mar,28995881,3997,4669,5330,6110,6812,7276,8262,9353,10230,11671,12561,13484,13906,14624,15492,16455,17371,18260,18923,19458,20196,21069,21944,22806,23773,24631,25297,26171,27054,28087,29229,30522,31548,32332,33369,34422,35390,36609,37860,38869,39869,41048,42403,43851,45198,46999,47784,48693,49912,51323,51323,52268,54509,55348,55971,56560,57921,59776,61006,62338,64287,64880,66568,68271,69920,71613,73553,74978,75616,77253,79757,81583,83680,86011,87854,89108,93206,96335,99851,103305,107735,111601,114881,120370,125921,131917,137624,143371,148728,153011,159986,168062,175977,183532,191790,195239,200557,210585,220564,230346
US Virgin Islands,13-Mar,107268,30,33,38,40,42,43,43,45,46,50,51,51,51,51,51,51,51,53,53,53,54,54,54,54,55,57,59,59,62,66,66,66,66,66,66,66,66,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,71,71,71,71,71,71,72,72,72,72,72,73,73,73,73,74,74,76,76,76,78,80,81,81,81,81,84,90,92,98,111,111,112,116,122,144
Utah,7-Mar,3205958,1012,1074,1246,1428,1605,1675,1738,1846,1976,2102,2206,2303,2363,2412,2542,2683,2805,2931,3069,3213,3296,3445,3612,3782,3948,4123,4233,4343,4495,4672,4828,4981,5175,5317,5449,5595,5724,5919,6103,6251,6362,6432,6620,6749,6913,7068,7238,7384,7384,7710,7874,8057,8260,8392,8521,8620,8706,8921,9264,9533,9797,9999,10202,10497,10813,11252,11798,12066,12322,12559,12864,13252,13577,13981,14313,146008,14937,15344,15839,16425,17068,17462,17906,18300,18784,19374,20050,20628,21100,21664,22217,22716,23270,23866,24542,24952,25469,26033,26755,27356
Vermont,8-Mar,623989,321,338,389,461,512,543,575,605,628,679,711,727,748,752,759,768,779,803,812,816,818,823,825,827,843,851,855,862,862,866,879,886,897,902,907,908,916,919,921,926,927,927,929,932,933,934,940,940,944,944,950,952,954,956,962,967,971,974,975,977,981,983,988,990,1026,1027,1046,1063,1075,1084,1095,1110,1119,1125,1127,1128,1131,1131,1135,1144,1147,1159,1163,1164,1184,1191,1198,1200,1202,1208,1208,1210,1227,1236,1238,1249,1251,1254,1256,1272
Virginia,8-Mar,8535519,1484,1706,2012,2407,2637,2878,3333,3645,4042,4509,5077,5274,5747,6171,6500,6889,7491,8053,8537,8990,9630,10266,10627,11169,11902,12488,13535,13794,14961,15846,16901,17731,18671,19492,20256,20256,21570,22342,23196,24081,25070,25800,26746,27813,28672,29683,30388,31140,32145,32908,34137,34950,35749,36244,37727,30342,40249,41401,42533,43611,44607,45398,46239,46905,47856,48532,49397,50681,51251,51738,52177,52647,53211,53869,54506,54886,55331,55775,56238,56793,57443,57994,58465,58994,59514,59946,60570,61247,61736,62189,62787,63203,63735,64393,65109,65748,66102,66740,67375,67988
Washington,27-Feb,7614893,7353,7756,8165,8373,8542,8935,9344,9685,10047,10348,10502,10586,10941,11232,11555,11859,12200,12369,12458,12780,13043,13319,13579,13923,14088,14195,14545,14824,15138,15376,15682,15791,15869,16240,16487,16760,17003,17246,17365,17416,17697,17933,18200,18425,18555,18585,18590,18433,18611,18811,18971,19117,20933,21070,21279,21522,21758,21952,22159,22273,22357,22603,22880,23077,23147,23169,23169,23442,23729,24041,24354,24642,24779,25171,25538,25834,26158,26531,26784,28666,28680,28680,28680,28870,29386,29869,30367,30855,31404,31752,32253,32824,33435,34151,34778,35247,35898,36985,37420,37941
West Virginia,17-Mar,1792147,191,217,237,282,324,345,412,462,523,554,577,611,626,640,702,739,754,785,863,902,914,939,967,988,1020,10044,1063,1079,1095,1118,1136,1169,1191,1206,1238,1248,1287,1310,1335,1360,1366,1371,1398,1427,1441,1457,1490,1491,1509,1545,1593,1616,1717,1759,1774,1854,1867,1906,1951,1974,2010,2017,2041,2071,2092,2119,2131,2144,2153,2169,2188,2212,2233,2259,2289,2298,2341,2376,2418,2435,2486,2543,2552,2582,2629,2661,2712,2761,2817,2870,2905,2932,3053,3126,3141,3262,3442,3461,3707,3826
Wisconsin,5-Feb,5822434,1550,1730,1912,2112,2267,2440,2578,2756,2885,3068,3213,3341,3428,3555,3721,3875,4045,4199,4346,4499,4620,4845,5052,5356,5687,5911,6081,6289,6520,6854,7314,7660,7964,8236,8566,8901,9215,9590,9939,10219,10418,10611,10902,11275,11685,12187,12543,12687,12885,13413,13885,14396,14877,15277,15584,15863,16462,16974,17707,18230,18403,18543,18917,19400,19892,20249,20571,20835,21038,21308,21593,21926,22246,22518,22758,22932,23198,23454,23876,26913,27326,27615,27878,28175,28641,29105,29668,30227,30707,31033,31662,32225,32809,33431,34207,34740,35230,35765,36410,37210
Wyoming,12-Mar,578759,130,150,162,187,197,210,216,221,230,230,261,261,275,275,287,296,296,305,309,313,320,322,326,349,349,362,370,389,536,544,559,566,579,586,596,604,631,635,644,661,662,675,675,701,715,716,754,754,766,787,787,803,813,813,838,850,850,874,891,898,903,910,910,915,915,933,939,947,960,970,980,1009,1027,1050,1060,1060,1089,1114,1144,1173,1179,1197,1230,1254,1279,1326,1368,1392,1417,1450,1487,1514,1550,1582,1606,1634,1634,1711,1740,1774
