State,Day 0,Population,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,19-Mar
Georgia,2-Mar,10617423,4638,5348,5831,6160,6647,7314,8818,9901,10566,11483,12159,12452,13315,14223,14987,15669,17194,17669,18301,18947,19881,20740,21512,22147,22695,23401,23913,24615,25572,26155,27270,28306,28602,29368,29711,30696,31439,32106,32532,33441,33927,34635,35332,35858,36681,37147,37701,38081,38721,39647,40405,41218,42132,42838,43344,43730,44421,45070,45670,46286,46986,47618,48207,48894,49847,50621,51309,51898,52497,53249,53980,54973,55783,56801,57681,58414,59078,60030,60912,62009,63809,64701,65928,67678,69381,71095,72995,74985,77210,79417,81291,84237,87709,90493,93319,95516,97064,100470,103890,106727
Guam,15-Mar,162742,77,82,84,93,112,113,121,125,128,130,133,133,135,135,135,135,136,136,136,136,136,136,136,141,141,141,144,145,145,146,146,148,150,150,150,151,151,151,151,151,151,152,152,153,154,154,154,154,154,165,165,165,165,166,166,169,170,172,172,173,173,175,177,178,179,179,179,179,179,180,182,183,184,185,185,1851,186,188,193,200,222,222,224,225,231,245,248,248,248,255,259,267,280,286,288,288,301,303,307,309
Hawaii,6-Mar,1415872,208,258,285,319,351,371,387,410,435,442,465,486,499,504,517,530,541,553,574,580,582,584,592,596,601,603,606,607,609,613,618,619,620,620,621,625,626,629,629,631,632,634,635,637,637,638,639,640,640,641,642,642,642,643,643,643,643,644,647,649,651,652,652,653,653,655,664,673,675,676,682,685,692,706,723,728,736,740,744,762,789,803,814,816,819,835,850,866,872,899,900,917,926,946,975,999,1023,1030,1071,1094
Idaho,14-Mar,1787065,525,669,891,1013,1077,1101,1170,1210,1232,1353,1396,1407,1426,1453,1464,1587,1609,1655,1668,1672,1736,1766,1802,1836,1870,1887,1897,1917,1952,1984,2015,2035,2061,2061,2106,22127,2158,2178,2205,2230,2230,2260,2293,2324,2351,2389,2419,2419,2455,2476,2506,2534,2595,2626,2626,2626,2699,2731,2769,2803,2839,2839,2906,2933,2990,3054,3111,3139,3139,3189,3220,3260,3302,3353,3399,3399,3462,3540,3632,3743,3871,4006,4006,4254,4402,4645,4865,5148,5319,5319,5752,6117,6370,6593,6994,7370,7733,8052,8539,8969
Illinois,24-Jan,12671821,6980,7695,8904,10357,11256,12262,13549,15078,16422,17887,19810,20852,22025,23247,24593,25733,27575,29160,30357,31508,33059,35108,36934,39658,41777,43903,45883,48102,50355,52918,56055,58505,61499,63840,65962,68232,70873,73760,76085,77741,79007,83021,84698,87937,90369,92457,94191,96485,98030,100418,102686,105444,107796,110304,112017,113195,114306,115833,117455,118917,120260,121234,122848,123830,124759,125915,126890,127757,129139,129936,130561,131327,132059,132732,133404,133877,134500,135046,135639,136470,137104,137762,138224,138825,139540,140434,141344,142130,142776,143514,144238,145066,145935,146872,147734,148373,148987,149574,150554,151572
Indiana,6-Mar,6732219,2565,3039,3437,3953,4411,4944,5507,5943,6351,6907,7435,7928,8236,8527,8955,9542,10154,10641,11210,11686,12097,12438,13039,13680,14395,15012,15961,16588,17182,17835,18630,19295,19933,20507,21033,21870,22503,23146,23732,24126,24627,25127,25473,26053,26655,27280,27778,28255,28705,29274,29936,30409,30901,31376,31715,32078,32437,33068,33558,34211,34574,34830,35237,35712,36096,36578,36997,37397,37623,38033,38337,38748,39146,39543,39909,40430,40786,41013,41438,41746,42061,42423,42633,42871,43140,43655,44140,44575,44930,45228,45594,45952,46387,46915,47432,48008,48331,48626,49063,49575
Iowa,9-Mar,3155070,549,614,699,786,868,946,1048,1145,1270,1388,1510,1587,1710,1899,1995,2141,2332,2513,2902,3159,3641,3748,3924,4445,5092,5476,5868,6376,6843,7145,7884,8641,9169,9703,10111,10404,11059,11457,11671,11959,12373,12912,13289,13675,14049,14328,14651,14955,15349,15614,16170,16504,16893,17252,17577,17703,18360,18573,18926,19244,19552,19697,20016,20055,20805,21152,21478,21667,21987,22236,22551,22938,23337,23717,23926,24053,24179,24461,24854,25275,25496,25963,26051,26373,26705,27197,27686,28012,28489,28782,29007,29451,30209,30429,31041,31353,31657,32029,32509,33240
Kansas,8-Mar,2913314,482,552,620,698,747,845,900,900,1106,1166,1268,1337,1376,1426,1494,1588,1705,1790,1849,1986,2025,2211,2482,2777,3056,3174,3328,3491,3738,4238,4449,4746,5030,5245,5458,5734,6144,6501,6751,6948,7116,7116,7468,7468,7886,7886,7886,8340,8340,8539,8539,8958,8958,8958,9218,9218,9337,9337,9719,9719,9719,10011,10011,10170,10170,10393,10393,10393,10650,10650,10812,10812,11047,11047,11047,11419,11419,11681,11681,12059,12059,12059,12465,12465,12970,12970,13538,13538,13538,14443,14443,14990,14990,15919,15919,15919,16901,16901,17618,17618
Kentucky,7-Mar,4467673,591,680,770,831,917,955,1008,1149,1346,1693,1693,1840,1963,2048,2210,2291,2429,2522,2707,2960,3050,3192,3373,3481,3779,3905,4074,4146,4375,4539,4708,4879,4879,5130,5245,5822,5934,6129,6288,6440,6440,6677,6853,7080,7225,7444,7688,7688,8069,8069,8167,8286,8426,8571,8571,8571,9077,9077,9184,9464,9704,10046,10185,10410,10705,10977,11287,11287,11476,11708,11883,11945,11945,12445,12445,12647,12829,12995,13197,13454,13630,13750,13839,14141,14363,14617,14859,14859,15232,15347,15624,15842,16079,16376,16376,16376,17152,17519,17919,18245
Louisiana,9-Mar,4648794,6424,9150,10297,12496,13010,14867,16284,17030,18283,19253,20014,20595,21016,21518,21951,22532,23118,23580,23928,24523,24854,25258,25739,26140,26512,26773,27068,27286,27660,28001,28711,29140,29340,29673,29996,30399,30652,30855,31417,31600,31815,32050,32662,33489,33837,34117,34432,34709,35038,35316,36504,36925,37040,37169,37809,38054,38497,38802,38802,39577,39916,40341,40746,41133,41562,41989,42486,42816,43050,43612,44030,44472,44995,46283,46619,47172,47706,48634,48634,48515,49385,49778,50239,51595,52477,53415,54769,54769,56236,57081,58095,60178,61561,63289,63289,65226,66327,68263,70151,71994
Maine,12-Mar,1344212,344,376,432,456,470,499,519,537,560,586,616,633,698,734,770,796,827,847,867,875,888,907,937,965,990,1015,1023,1040,1056,1095,1123,1152,1185,1205,1226,1254,1330,1374,1408,1436,1462,1477,1515,1565,1603,1648,1687,1713,1741,1819,1877,1948,2013,2055,2074,2109,2137,2189,2226,2282,2325,2349,2377,2418,2446,2482,2524,2570,2588,2606,2637,2667,2721,2757,2793,2810,2819,2836,2878,2913,2938,2957,2971,2994,3017,3070,3102,3154,3191,3219,3253,3294,3328,3373,3397,3415,3423,3440,3460,3486
Maryland,6-Mar,6045680,1985,2331,2758,3125,3609,4045,4371,5529,6185,6968,7694,8225,8936,9472,10032,10784,11572,12308,12830,13684,14193,14775,15737,16616,17766,18581,19487,20113,20849,21742,23472,24473,25462,26408,27117,28163,29374,30485,31534,32587,33373,34061,34812,35903,36986,37968,38804,39763,41546,42323,43531,44424,45495,46313,47152,47687,48423,49709,50988,52015,52778,53327,54175,54982,55858,56770,57482,57973,58404,58904,59465,60197,60613,61305,61701,62032,62409,62969,63229,63548,63956,64306,64603,65007,65337,65777,66115,66450,66777,67254,67559,67918,68423,68961,69341,69632,69904,70396,70861,71447
Massachusetts,1-Feb,6939373,7738,8966,10402,11736,12500,13837,15202,16790,18941,20974,22860,25475,26867,28163,29918,32181,34402,36372,39820,41416,43168,44913,47992,50969,53348,54938,56462,58302,60265,62205,64311,66263,68087,69087,70271,72025,73721,75333,76743,77793,78462,79332,80497,80497,83421,84933,86010,86010,87925,88970,90084,90889,91662,92675,93271,93693,94220,94895,95512,96301,96965,96965,101163,101592,102063,102557,103132,103436,103626,103889,104156,104667,105059,105395,105603,105690,105885,106151,106422,106650,106936,107061,107210,107439,107611,107837,108070,108443,108667,108768,108882,109143,109338,109628,109838,109974,110137,110338,110602,110897
Michigan,11-Mar,9996000,9334,10791,12744,14225,15718,17221,18970,20589,21504,22783,23993,24638,25635,27001,28059,29263,30023,30791,31424,32000,32967,33966,35291,36641,37203,37778,38210,39262,40399,41379,42356,43207,43754,43754,44397,45054,45646,46326,46756,47138,47552,48021,48391,49582,50079,50504,51142,51915,52350,53009,53510,53913,54365,54679,54881,55104,55608,56014,56621,56884,57397,57532,57731,58035,58241,63539,63983,64413,64413,65167,65182,65449,65672,65836,66054,66085,66269,66497,66798,67097,67545,67711,67957,68197,68555,68989,69329,69679,69946,70223,70728,71089,71678,72175,72581,72941,73269,73900,74551,75063
Minnesota,7-Mar,5639632,689,742,789,865,935,986,1069,1154,1242,1336,1427,1621,1650,1695,1809,1912,2071,2213,2356,2470,2567,2721,2942,3185,3446,3602,3816,4181,4644,5136,5730,6228,6663,7234,7851,8579,9365,10088,10790,11271,11799,12494,12917,13435,14240,14969,15668,16372,17029,17670,18200,19005,19845,20573,21315,21960,22464,22947,23531,24190,24850,25208,25508,25870,26273,26980,27501,27886,28224,29866,30199,30418,30463,30465,30471,30693,30882,31296,31675,32031,32467,32920,33227,33469,33763,34123,34616,35033,35549,35861,36303,36716,37210,37624,37624,38136,38569,39133,39589,40163
Mississippi,12-Mar,2976149,937,1073,1177,1358,1455,1638,1738,1915,2003,2260,2469,2642,2781,2942,3087,3360,3624,3793,3974,4512,4716,4894,5153,5434,5718,5911,6094,6342,6569,6815,7212,7441,7550,7877,8207,8424,8686,9090,9378,9501,9674,9908,10090,10483,10801,11123,11296,11432,11704,11967,12222,12624,13005,13252,13458,13731,14044,14372,14790,15229,15501,15752,16020,16322,16560,16759,16759,17270,17768,17768,18483,18483,19091,19348,19516,19799,20152,20641,20641,20641,20641,20641,22287,22898,23424,24516,25066,25531,25892,26567,27247,27900,28770,28770,30674,30900,31257,32214,32888,33591
Missouri,8-Mar,6137428,1581,1834,2113,2291,2367,2722,3037,3327,3539,3799,4024,4160,4388,4686,4895,5111,5283,5517,5667,5807,5941,6137,6321,6625,6826,6997,7171,7303,7425,7562,7835,8154,8386,8754,8916,9102,9341,9489,9666,9844,9918,10006,10142,10317,10456,10675,10789,10945,11080,11232,11340,11558,11752,11988,12167,12291,12492,12673,12795,12962,13147,13327,13575,13767,14057,14253,14442,14553,14734,14913,15187,15390,15585,15810,15810,16189,16414,16625,16908,17201,17590,18003,18143,18143,18868,19421,19914,20261,20575,21043,21551,21927,22283,22830,23215,23436,23856,24629,25204,25999
Montana,12-Mar,1068778,208,227,243,265,286,299,319,332,354,365,377,387,394,399,404,415,422,426,433,433,437,439,442,444,445,448,449,451,451,453,453,455,455,457,457,458,458,458,458,458,459,461,462,462,466,468,468,470,471,478,479,479,479,479,479,479,481,485,493,505,515,519,523,525,539,541,541,545,548,554,561,563,573,588,601,609,614,630,655,666,698,717,740,743,766,803,829,852,863,919,967,1016,1083,1128,1167,1212,1249,1327,1371,1466
Nebraska,7-Mar,1934408,210,246,279,321,363,409,447,519,567,635,700,791,814,871,901,952,1066,1138,1287,1474,1648,1722,1813,2124,2421,2732,3028,3358,3374,3784,4281,4838,5326,5910,6083,6438,6771,7190,7831,8234,8315,8572,8692,9075,9416,9772,10220,10348,10625,10846,11122,11425,11662,11989,12134,12355,12619,12976,13261,13654,13905,14101,14345,14611,14866,15117,15379,15543,15634,15752,15883,16025,16315,16513,16633,16725,16851,17031,17226,17415,17591,17707,17810,17957,18092,18221,18346,18524,18775,18899,19042,19177,19310,19452,19660,19827,19929,20046,20201,20425
Nevada,5-Mar,3080156,1279,1458,1514,1742,1836,1953,2087,2318,2456,2584,2700,2836,2971,3088,3211,3321,3524,3636,3728,3830,3937,4081,4208,4398,4539,5602,4690,4805,4898,4998,5227,5311,5426,5491,5594,5663,5766,5884,6028,6098,6152,6311,6394,6499,6614,6662,6857,6906,7046,7166,7255,7401,7696,7770,7879,7997,8113,8208,8350,8495,8593,8688,8830,8935,9090,9266,9460,9649,9786,10030,10164,10399,10678,10946,11173,11279,11658,11842,12076,12486,12931,13205,13535,13997,14362,14859,15240,16339,17160,17894,18456,19101,19733,20718,21575,22418,22909,23785,24301,24904
New Hampshire,2-Mar,1359711,415,415,479,540,621,669,715,788,788,819,885,929,985,1020,1139,1139,1287,1287,1342,1392,1491,1491,1588,1670,1720,1787,1864,1938,2010,2054,2146,2310,2429,2588,2588,2636,2740,2843,2947,3011,3160,3160,3239,3299,3464,3464,3556,3596,3652,3721,3868,3935,4089,4089,4149,4197,4231,4286,4386,4492,4545,4651,4685,4749,4795,4876,5019,5019,5043,5079,5132,5178,5209,5251,5299,5345,5345,5364,5436,5450,5486,5518,5544,5558,5571,5598,5671,5671,5717,5760,5760,5782,5802,5822,5857,5857,5897,5914,5932,5952
New Jersey,4-Mar,8882190,22255,25590,29895,34124,37505,41090,44416,47437,51027,54588,58151,61850,64584,68824,71030,75317,78467,81420,85301,88806,92387,95865,99989,102196,105523,109038,111188,113856,116264,118652,121190,123717,126744,129269,130593,131890,133635,135454,137085,138532,139945,140743,141560,142704,143905,145089,146334,148039,149013,150399,151472,152719,153104,154154,155092,155764,156628,157815,158844,159608,160445,160918,161545,162068,162530,163336,163893,164164,164497,164796,165346,165816,166164,166605,166881,167103,167426,167703,168107,168496,168834,169142,169415,169734,169892,170196,170584,170873,171182,171272,171667,171928,172356,172742,173033,173402,173611,173878,174039,174240
New Mexico,11-Mar,2096829,315,363,403,495,543,624,686,794,865,1091,1091,1174,1245,1345,1407,1484,1597,1711,1798,1845,1971,2072,2210,2379,2521,2660,2726,2823,2974,3213,3411,3513,3732,3850,4031,4138,4291,4493,4673,4778,4863,5069,5212,5364,5503,5662,5857,5938,6096,6192,6317,6472,6625,6795,6943,7026,7130,7252,7364,7493,7624,7689,7800,8024,8140,8353,8672,8800,8940,9062,9105,9250,9526,9526,9621,9723,9845,9933,10065,10153,10260,10565,10565,10694,10838,10990,11192,11408,11619,11809,11982,12147,12276,12520,12776,13063,13256,13507,13727,14017
