state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,5025,12,10050,12562.5,0.2562110138613983
Alaska,13-Mar,710249,321,17,642,802.5,0.11298854345447865
Arizona,4-Mar,7278717,5064,13,10128,12660.0,0.17393175198321353
Arkansas,12-Mar,3017804,1923,12,3846,4807.5,0.15930458041675338
California,26-Jan,39512223,30978,13,61956,77445.0,0.1960026394870266
Colorado,6-Mar,5758736,9730,14,19460,24325.0,0.4224017214888823
Connecticut,8-Mar,3565287,19815,11,39630,49537.5,1.3894393354588284
DC,8-Mar,705749,2927,11,5854,7317.5,1.03684171001305
Delaware,11-Mar,973764,2745,10,5490,6862.5,0.7047395467484935
Florida,1-Mar,21477737,26600,14,53200,66500.0,0.3096229365319074
Georgia,2-Mar,10617423,18947,12,37894,47367.5,0.4461299130683594
Hawaii,6-Mar,1415872,580,17,1160,1450.0,0.10241038737965014
Idaho,14-Mar,1787065,1672,18,3344,4180.0,0.23390307571353028
Illinois,24-Jan,12671821,31508,11,63016,78770.0,0.6216154726301768
Indiana,6-Mar,6732219,11686,12,23372,29215.0,0.43395795650735663
Iowa,9-Mar,3155070,3159,8,6318,7897.5,0.2503114035504759
Kansas,8-Mar,2913314,1986,12,3972,4965.0,0.17042447192441323
Kentucky,7-Mar,4467673,2960,11,5920,7400.0,0.1656343246249222
Louisiana,9-Mar,4648794,24523,16,49046,61307.5,1.318782892939545
Maine,12-Mar,1344212,875,16,1750,2187.5,0.16273474719761466
Maryland,6-Mar,6045680,13684,10,27368,34210.0,0.5658585965515872
Massachusetts,1-Feb,6939373,38077,11,76154,95192.5,1.371773789937506
Michigan,11-Mar,9996000,32000,15,64000,80000.0,0.8003201280512204
Minnesota,7-Mar,5639632,2470,11,4940,6175.0,0.10949295982432897
Mississippi,12-Mar,2976149,4512,10,9024,11280.0,0.37901328192909695
Missouri,8-Mar,6137428,5807,13,11614,14517.5,0.2365404531018531
Montana,12-Mar,1068778,433,18,866,1082.5,0.1012838961879829
Nebraska,7-Mar,1934408,1474,9,2948,3685.0,0.1904975579091898
Nevada,5-Mar,3080156,3830,14,7660,9575.0,0.31086087847498634
New Hampshire,2-Mar,1359711,1392,13,2784,3480.0,0.25593673949831985
New Jersey,4-Mar,8882190,88806,13,177612,222015.0,2.4995524752341485
New Mexico,11-Mar,2096829,1845,11,3690,4612.5,0.21997501942218464
New York,1-Mar,19453561,247512,15,495024,618780.0,3.180805817505597
North Carolina,3-Mar,10488084,6764,12,13528,16910.0,0.1612305927374342
North Dakota,12-Mar,762062,627,8,1254,1567.5,0.20569192532891026
Northern Mariana Islands,28-Mar,57476,14,17,28,35.0,0.060894982253462314
Ohio,9-Mar,11689100,12516,9,25032,31290.0,0.267685279448375
Oklahoma,7-Mar,3956971,2680,14,5360,6700.0,0.16932143298497765
Oregon,28-Feb,4217737,1956,16,3912,4890.0,0.11593895020007175
Pennsylvania,6-Mar,12801989,33232,12,66464,83080.0,0.6489616574424489
Puerto Rico,13-Mar,3193694,1252,12,2504,3130.0,0.09800563234924824
Rhode Island,7-Mar,1059361,5090,8,10180,12725.0,1.2011958152131332
South Carolina,7-Mar,5148714,4377,14,8754,10942.5,0.21252879845336137
South Dakota,11-Mar,884659,1685,7,3370,4212.5,0.4761721748153808
Tennessee,5-Mar,6833793,7238,14,14476,18095.0,0.26478706627490767
Texas,4-Mar,28995881,19458,11,38916,48645.0,0.16776520775485318
Utah,7-Mar,3205958,3213,14,6426,8032.5,0.25054913383144756
Vermont,8-Mar,623989,816,17,1632,2040.0,0.3269288400917324
Virginia,8-Mar,8535519,8990,10,17980,22475.0,0.2633114635442789
Washington,27-Feb,7614893,11790,18,23580,29475.0,0.387070442092883
West Virginia,17-Mar,1792147,920,12,1840,2300.0,0.1283376865848616
Wisconsin,5-Feb,5822434,4499,15,8998,11247.5,0.19317522534390258
Wyoming,12-Mar,578759,313,17,626,782.5,0.1352030810751971
