state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,8025,19,16050,20062.5,0.409172813181636
Alaska,13-Mar,710249,370,28,740,925.0,0.13023601581980404
Arizona,4-Mar,7278717,8919,17,17838,22297.5,0.30633832858180915
Arkansas,12-Mar,3017804,3458,15,6916,8645.0,0.28646658298550864
California,26-Jan,39512223,54937,17,109874,137342.5,0.34759497080182
Colorado,6-Mar,5758736,16635,17,33270,41587.5,0.7221636831415783
Connecticut,8-Mar,3565287,29287,19,58574,73217.5,2.053621489658476
DC,8-Mar,705749,5170,16,10340,12925.0,1.8313876463161833
Delaware,11-Mar,973764,5288,14,10576,13220.0,1.3576184783992835
Florida,1-Mar,21477737,36897,22,73794,92242.5,0.4294796048578116
Georgia,2-Mar,10617423,29368,19,58736,73420.0,0.6915048971864454
Guam,15-Mar,162742,150,33,300,375.0,0.23042607317103145
Hawaii,6-Mar,1415872,620,30,1240,1550.0,0.10947317271617774
Idaho,14-Mar,1787065,2061,29,4122,5152.5,0.28832191330477625
Illinois,24-Jan,12671821,63840,13,127680,159600.0,1.2594874880255964
Indiana,6-Mar,6732219,20507,16,41014,51267.5,0.7615245433934933
Iowa,9-Mar,3155070,9703,9,19406,24257.5,0.7688418957424082
Kansas,8-Mar,2913314,5245,11,10490,13112.5,0.4500887992162877
Kentucky,7-Mar,4467673,5130,16,10260,12825.0,0.28706219098846314
Louisiana,9-Mar,4648794,29673,28,59346,74182.5,1.5957364426128584
Maine,12-Mar,1344212,1205,22,2410,3012.5,0.22410899471214363
Maryland,6-Mar,6045680,26408,14,52816,66020.0,1.092019425440976
Massachusetts,1-Feb,6939373,69087,17,138174,172717.5,2.4889496500620445
Michigan,11-Mar,9996000,43754,24,87508,109385.0,1.0942877150860344
Minnesota,7-Mar,5639632,7234,8,14468,18085.0,0.3206769519713343
Mississippi,12-Mar,2976149,7877,15,15754,19692.5,0.6616772211337537
Missouri,8-Mar,6137428,8754,21,17508,21885.0,0.35658259453308455
Montana,12-Mar,1068778,457,32,914,1142.5,0.10689778419840229
Nebraska,7-Mar,1934408,5910,7,11820,14775.0,0.7637995707213783
Nevada,5-Mar,3080156,5491,22,10982,13727.5,0.4456754787744517
New Hampshire,2-Mar,1359711,2588,15,5176,6470.0,0.4758364093546349
New Jersey,4-Mar,8882190,129269,21,258538,323172.5,3.6384326387974135
New Mexico,11-Mar,2096829,3850,13,7700,9625.0,0.45902646329290564
New York,1-Mar,19453561,318953,25,637906,797382.5,4.0989025094171705
North Carolina,3-Mar,10488084,11848,16,23696,29620.0,0.282415739614595
North Dakota,12-Mar,762062,1225,13,2450,3062.5,0.4018701890397369
Northern Mariana Islands,28-Mar,57476,14,31,28,35.0,0.060894982253462314
Ohio,9-Mar,11689100,20474,16,40948,51185.0,0.43788657809412185
Oklahoma,7-Mar,3956971,4044,21,8088,10110.0,0.25549846081763045
Oregon,28-Feb,4217737,2759,23,5518,6897.5,0.16353556421370039
Pennsylvania,6-Mar,12801989,50092,20,100184,125230.0,0.9782073707452803
Puerto Rico,13-Mar,3193694,1843,11,3686,4607.5,0.14426867445660105
Rhode Island,7-Mar,1059361,9652,15,19304,24130.0,2.2777882138383423
South Carolina,7-Mar,5148714,6626,21,13252,16565.0,0.32173082443499484
South Dakota,11-Mar,884659,2668,18,5336,6670.0,0.7539628263545615
Tennessee,5-Mar,6833793,13571,15,27142,33927.5,0.49646660353920585
Texas,4-Mar,28995881,32332,18,64664,80830.0,0.27876373199352006
Utah,7-Mar,3205958,5317,18,10634,13292.5,0.41461865688820626
Vermont,8-Mar,623989,902,30,1804,2255.0,0.36138457568963556
Virgin Islands,13-Mar,107268,66,32,132,165.0,0.1538203378453966
Virginia,8-Mar,8535519,19492,13,38984,48730.0,0.570908459110688
Washington,27-Feb,7614893,15185,28,30370,37962.5,0.49852965760648243
West Virginia,17-Mar,1792147,1206,21,2412,3015.0,0.1682339674145034
Wisconsin,5-Feb,5822434,8236,16,16472,20590.0,0.35363217513500367
Wyoming,12-Mar,578759,586,16,1172,1465.0,0.2531278131311997
