state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,4530,9,9060,11325.0,0.23097231697355902
Alaska,13-Mar,710249,309,14,618,772.5,0.10876467267113364
Arizona,4-Mar,7278717,4507,12,9014,11267.5,0.1548006331335591
Arkansas,12-Mar,3017804,1695,11,3390,4237.5,0.1404166738462803
California,26-Jan,39512223,27528,11,55056,68820.0,0.17417395118467519
Colorado,6-Mar,5758736,8675,12,17350,21687.5,0.3766017403819171
Connecticut,8-Mar,3565287,16809,9,33618,42022.5,1.178656865492175
DC,8-Mar,705749,2476,10,4952,6190.0,0.8770823621429148
Delaware,11-Mar,973764,2323,8,4646,5807.5,0.5963970736235885
Florida,1-Mar,21477737,24119,12,48238,60297.5,0.2807441957222961
Georgia,2-Mar,10617423,17194,10,34388,42985.0,0.4048534187627261
Guam,15-Mar,162742,136,17,272,340.0,0.20891963967506852
Hawaii,6-Mar,1415872,541,15,1082,1352.5,0.09552417167653574
Idaho,14-Mar,1787065,1609,15,3218,4022.5,0.22508974211906113
Illinois,24-Jan,12671821,27575,10,55150,68937.5,0.5440220470285999
Indiana,6-Mar,6732219,10154,11,20308,25385.0,0.3770673532753465
Iowa,9-Mar,3155070,2332,9,4664,5830.0,0.18478195412463114
Kansas,8-Mar,2913314,1705,11,3410,4262.5,0.14631103959271125
Kentucky,7-Mar,4467673,2429,9,4858,6072.5,0.13592086976822162
Louisiana,9-Mar,4648794,23118,14,46236,57795.0,1.2432256623976026
Maine,12-Mar,1344212,827,14,1654,2067.5,0.15380758392277408
Maryland,6-Mar,6045680,11572,9,23144,28930.0,0.4785235076947506
Massachusetts,1-Feb,6939373,34402,9,68804,86005.0,1.2393771022252298
Michigan,11-Mar,9996000,30023,12,60046,75057.5,0.750875350140056
Minnesota,7-Mar,5639632,2071,10,4142,5177.5,0.09180563554501428
Mississippi,12-Mar,2976149,3793,10,7586,9482.5,0.31861644023871116
Missouri,8-Mar,6137428,5283,11,10566,13207.5,0.21519600718737555
Montana,12-Mar,1068778,422,16,844,1055.0,0.09871086418320736
Nebraska,7-Mar,1934408,1066,9,2132,2665.0,0.1377682474431454
Nevada,5-Mar,3080156,3524,12,7048,8810.0,0.2860244740850788
New Hampshire,2-Mar,1359711,1287,11,2574,3217.5,0.23663116647581728
New Jersey,4-Mar,8882190,78467,11,156934,196167.5,2.208548792583811
New Mexico,11-Mar,2096829,1597,9,3194,3992.5,0.19040656152695332
New York,1-Mar,19453561,229642,13,459284,574105.0,2.951156346131179
North Carolina,3-Mar,10488084,5859,11,11718,14647.5,0.1396584924377036
North Dakota,12-Mar,762062,439,11,878,1097.5,0.1440171534599547
Northern Mariana Islands,28-Mar,57476,13,14,26,32.5,0.05654534066392929
Ohio,9-Mar,11689100,8858,11,17716,22145.0,0.18945000042774893
Oklahoma,7-Mar,3956971,2465,12,4930,6162.5,0.15573781056267533
Oregon,28-Feb,4217737,1785,14,3570,4462.5,0.10580318308135382
Pennsylvania,6-Mar,12801989,29441,10,58882,73602.5,0.5749301924880579
Puerto Rico,13-Mar,3193694,1068,11,2136,2670.0,0.0836022486813076
Rhode Island,7-Mar,1059361,4177,7,8354,10442.5,0.9857357406965143
South Carolina,7-Mar,5148714,3931,11,7862,9827.5,0.19087290535073417
South Dakota,11-Mar,884659,1411,5,8466,10582.5,1.196223629669737
Tennessee,5-Mar,6833793,6589,13,13178,16472.5,0.24104476094022748
Texas,4-Mar,28995881,17371,10,34742,43427.5,0.14977127268524795
Utah,7-Mar,3205958,2805,13,5610,7012.5,0.218733370805232
Vermont,8-Mar,623989,779,14,1558,1947.5,0.3121048608228671
Virgin Islands,13-Mar,107268,51,19,102,127.5,0.11886117015326099
Virginia,8-Mar,8535519,7491,9,14982,18727.5,0.21940669337154542
Washington,27-Feb,7614893,11152,16,22304,27880.0,0.3661246454809017
West Virginia,17-Mar,1792147,754,11,1508,1885.0,0.1051811040054192
Wisconsin,5-Feb,5822434,4045,13,8090,10112.5,0.17368165959459567
Wyoming,12-Mar,578759,296,15,592,740.0,0.12785978274203944
