state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,20925,25,41850,52312.5,1.06690855
Alaska,13-Mar,710249,563,22,1126,1407.5,0.198169938
Arizona,4-Mar,7278717,27678,20,55356,69195,0.950648308
Arkansas,12-Mar,3017804,9740,19,19480,24350,0.806878114
California,26-Jan,39512223,131319,28,262638,328297.5,0.830875803
Colorado,6-Mar,5758736,28001,40,56002,70002.5,1.215587935
Connecticut,8-Mar,3565287,44092,46,88184,110230,3.091756709
Delaware,11-Mar,973764,9972,36,19944,24930,2.560168583
District of Columbia,8-Mar,705749,9389,37,18778,23472.5,3.325899151
Florida,1-Mar,21477737,64094,39,128188,160235,0.746051598
Georgia,2-Mar,10617423,52497,38,104994,131242.5,1.236105032
Guam,15-Mar,162742,179,65,358,447.5,0.274975114
Hawaii,6-Mar,1415872,675,64,1350,1687.5,0.119184503
Idaho,14-Mar,1787065,3139,52,6278,7847.5,0.439127844
Illinois,24-Jan,12671821,129139,34,258278,322847.5,2.547759316
Indiana,6-Mar,6732219,37623,37,75246,94057.5,1.397124782
Iowa,9-Mar,3155070,21987,31,43974,54967.5,1.742195894
Kansas,8-Mar,2913314,10650,34,21300,26625,0.913907667
Kentucky,7-Mar,4467673,11476,32,22952,28690,0.642168753
Louisiana,9-Mar,4648794,43050,53,86100,107625,2.315116566
Maine,12-Mar,1344212,2588,32,5176,6470,0.481322887
Maryland,6-Mar,6045680,58404,31,116808,146010,2.41511294
Massachusetts,1-Feb,6939373,103626,44,207252,259065,3.733262357
Michigan,11-Mar,9996000,64413,48,128826,161032.5,1.610969388
Minnesota,7-Mar,5639632,28224,24,56448,70560,1.251145465
Mississippi,12-Mar,2976149,17768,31,35536,44420,1.4925328
Missouri,8-Mar,6137428,14734,39,29468,36835,0.600169973
Montana,12-Mar,1068778,548,64,1096,1370,0.128183776
Nebraska,7-Mar,1934408,15634,30,31268,39085,2.020514803
Nevada,5-Mar,3080156,9786,39,19572,24465,0.794277952
New Hampshire,2-Mar,1359711,5043,33,10086,12607.5,0.927219093
New Jersey,4-Mar,8882190,164497,50,328994,411242.5,4.629967384
New Mexico,11-Mar,2096829,8940,30,17880,22350,1.065895216
New York,1-Mar,19453561,378799,56,757598,946997.5,4.867990493
North Carolina,3-Mar,10488084,36484,21,72968,91210,0.869653599
North Dakota,12-Mar,762062,2880,29,5760,7200,0.944805016
Northern Mariana Islands,28-Mar,57476,28,34,56,70,0.121789965
Ohio,9-Mar,11689100,38837,36,77674,97092.5,0.830624257
Oklahoma,7-Mar,3956971,7205,38,14410,18012.5,0.4552093
Oregon,28-Feb,4217737,4922,38,9844,12305,0.291744127
Pennsylvania,6-Mar,12801989,76563,44,153126,191407.5,1.495138763
Puerto Rico,13-Mar,3193694,5046,22,10092,12615,0.394997141
Rhode Island,7-Mar,1059361,15642,41,31284,39105,3.691376216
South Carolina,7-Mar,5148714,14800,28,29600,37000,0.718626049
South Dakota,11-Mar,884659,5471,33,10942,13677.5,1.546075946
Tennessee,5-Mar,6833793,26944,32,53888,67360,0.985689792
Texas,4-Mar,28995881,74978,29,149956,187445,0.646453888
US Virgin Islands,13-Mar,107268,71,67,142,177.5,0.165473394
Utah,7-Mar,3205958,12322,27,24644,30805,0.960867235
Vermont,8-Mar,623989,1075,63,2150,2687.5,0.430696695
Virginia,8-Mar,8535519,51251,26,102502,128127.5,1.501109657
Washington,27-Feb,7614893,23729,50,47458,59322.5,0.779032614
West Virginia,17-Mar,1792147,2153,39,4306,5382.5,0.300338086
Wisconsin,5-Feb,5822434,21038,26,42076,52595,0.903316379
Wyoming,12-Mar,578759,960,41,1920,2400,0.414680376
