state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Virginia,8-Mar,8535519,2637,5,15822,19777.5,0.23170823004435934
Arlington,,236842,181,6,362,452.5,0.19105564046917353
Fairfax,,1150795,426,6,852,1065.0,0.09254471908550176
Loudon,,406850,167,5,1002,1252.5,0.3078530170824628
Alexandria,,159428,74,3,740,925.0,0.5801992121835562
Prince William,,468011,175,6,350,437.5,0.09348070878675929
