State,Day 0,Population,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May
Tennessee,5-Mar,6833793,2683,2845,3067,3321,3633,3802,4138,4362,4634,4862,5114,5308,5610,5823,6079,6262,6589,6762,7070,7238,7394,7842,8266,8726,9189,9667,9918,10052,10366,10366,11891,12661,13177,13571,13690,13938,14096,14441,14768,14985,15544,16111,16370,16699,16970,17288,17388,18011,18378,18532
Texas,4-Mar,28995881,3997,4669,5330,6110,6812,7276,8262,9353,10230,11671,12561,13484,13906,14624,15492,16455,17371,18260,18923,19458,20196,21069,21944,22806,23773,24631,25297,26171,27054,28087,29229,30522,31548,32332,33369,34422,35390,36609,37860,38869,39869,41048,42403,43851,45198,46999,47784,48693,49912,51323
Utah,7-Mar,3205958,1012,1074,1246,1428,1605,1675,1738,1846,1976,2102,2206,2303,2363,2412,2542,2683,2805,2931,3069,3213,3296,3445,3612,3782,3948,4123,4233,4343,4495,4672,4828,4981,5175,5317,5449,5595,5724,5919,6103,6251,6362,6432,6620,6749,6913,7068,7238,7384,7384,7710
Vermont,8-Mar,623989,321,338,389,461,512,543,575,605,628,679,711,727,748,752,759,768,779,803,812,816,818,823,825,827,843,851,855,862,862,866,879,886,897,902,907,908,916,919,921,926,927,927,929,932,933,934,940,940,944,944
Virgin Islands,13-Mar,107268,30,33,38,40,42,43,43,45,46,50,51,51,51,51,51,51,51,53,53,53,54,54,54,54,55,57,59,59,62,66,66,66,66,66,66,66,66,68,68,69,69,69,69,69,69,69,69,69,69,69
Virginia,8-Mar,8535519,1484,1706,2012,2407,2637,2878,3333,3645,4042,4509,5077,5274,5747,6171,6500,6889,7491,8053,8537,8990,9630,10266,10627,11169,11902,12488,13535,13794,14961,15846,16901,17731,18671,19492,20256,20256,21570,22342,23196,24081,25070,25800,26746,27813,28672,29683,30388,31140,32145,32908
Washington,27-Feb,7614893,7353,7756,8165,8373,8542,8935,9344,9685,10047,10348,10502,10586,10941,11232,11555,11859,12200,12369,12458,12780,13043,13319,13579,13923,14088,14195,14545,14824,15138,15376,15682,15791,15869,16240,16487,16760,17003,17246,17365,17416,17697,17933,18200,18425,18555,18585,18590,18433,18611,18811
West Virginia,17-Mar,1792147,191,217,237,282,324,345,412,462,523,554,577,611,626,640,702,739,754,785,863,902,914,939,967,988,1020,10044,1063,1079,1095,1118,1136,1169,1191,1206,1238,1248,1287,1310,1335,1360,1366,1371,1398,1427,1441,1457,1490,1491,1509,1545
Wisconsin,5-Feb,5822434,1550,1730,1912,2112,2267,2440,2578,2756,2885,3068,3213,3341,3428,3555,3721,3875,4045,4199,4346,4499,4620,4845,5052,5356,5687,5911,6081,6289,6520,6854,7314,7660,7964,8236,8566,8901,9215,9590,9939,10219,10418,10611,10902,11275,11685,12187,12543,12687,12885,13413
Wyoming,12-Mar,578759,130,150,162,187,197,210,216,221,230,230,261,261,275,275,287,296,296,305,309,313,320,322,326,349,349,362,370,389,536,544,559,566,579,586,596,604,631,635,644,661,662,675,675,701,715,716,754,754,766,787
