state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,3191,7,6382,7977.5,0.1627003672102929
Alaska,13-Mar,710249,257,10,514,642.5,0.09046123260997199
Arizona,4-Mar,7278717,3393,8,6786,8482.5,0.11653839543425029
Arkansas,12-Mar,3017804,1226,9,2452,3065.0,0.10156391866403518
California,26-Jan,39512223,19472,9,38944,48680.0,0.12320238220967725
Colorado,6-Mar,5758736,6510,9,13020,16275.0,0.28261410142781335
Connecticut,8-Mar,3565287,11510,6,23020,28775.0,0.8070879006374522
DC,8-Mar,705749,1778,7,3556,4445.0,0.6298273182108654
Delaware,11-Mar,973764,1479,5,8874,11092.5,1.1391363821213354
Florida,1-Mar,21477737,18494,8,36988,46235.0,0.21526942060981563
Georgia,2-Mar,10617423,12159,7,24318,30397.5,0.2862982853748975
Guam,15-Mar,162742,133,11,266,332.5,0.20431111821164788
Hawaii,6-Mar,1415872,465,10,930,1162.5,0.0821048795371333
Idaho,14-Mar,1787065,1396,9,2792,3490.0,0.1952922809187131
Illinois,24-Jan,12671821,19810,7,39620,49525.0,0.3908278060430304
Indiana,6-Mar,6732219,7435,8,14870,18587.5,0.2760976729960805
Iowa,9-Mar,3155070,1510,7,3020,3775.0,0.11964869242203818
Kansas,8-Mar,2913314,1268,8,2536,3170.0,0.10881079073522455
Kentucky,7-Mar,4467673,1693,7,3386,4232.5,0.09473611878040313
Louisiana,9-Mar,4648794,20014,8,40028,50035.0,1.0763006491576095
Maine,12-Mar,1344212,616,11,1232,1540.0,0.11456526202712072
Maryland,6-Mar,6045680,7694,5,46164,57705.0,0.9544832012279842
Massachusetts,1-Feb,6939373,22860,7,45720,57150.0,0.8235614370347292
Michigan,11-Mar,9996000,23993,9,47986,59982.5,0.6000650260104041
Minnesota,7-Mar,5639632,1427,9,2854,3567.5,0.06325767355033095
Mississippi,12-Mar,2976149,2642,8,5284,6605.0,0.2219310928317097
Missouri,8-Mar,6137428,4024,8,8048,10060.0,0.16391230984705646
Montana,12-Mar,1068778,377,11,754,942.5,0.08818482416367103
Nebraska,7-Mar,1934408,700,6,1400,1750.0,0.09046695423095852
Nevada,5-Mar,3080156,2700,10,5400,6750.0,0.2191447446168311
New Hampshire,2-Mar,1359711,885,9,1770,2212.5,0.16271840118966457
New Jersey,4-Mar,8882190,58151,8,116302,145377.5,1.6367303559144761
New Mexico,11-Mar,2096829,1091,6,2182,2727.5,0.13007736920845714
New York,1-Mar,19453561,180458,9,360916,451145.0,2.319086978471448
North Carolina,3-Mar,10488084,4312,8,8624,10780.0,0.10278331104136847
North Dakota,12-Mar,762062,293,10,586,732.5,0.09612078807236156
Northern Mariana Islands,28-Mar,57476,11,10,22,27.5,0.047846057484863244
Ohio,9-Mar,11689100,6250,9,12500,15625.0,0.13367154015279192
Oklahoma,7-Mar,3956971,1868,9,3736,4670.0,0.11801956597609636
Oregon,28-Feb,4217737,1371,12,2742,3427.5,0.08126395742551042
Pennsylvania,6-Mar,12801989,21655,7,43310,54137.5,0.4228835066176045
Puerto Rico,13-Mar,3193694,788,8,1576,1970.0,0.06168405614313707
Rhode Island,7-Mar,1059361,2349,4,14094,17617.5,1.6630308270740568
South Carolina,7-Mar,5148714,3207,8,6414,8017.5,0.1557184959195636
South Dakota,11-Mar,884659,626,4,3756,4695.0,0.5307129639782108
Tennessee,5-Mar,6833793,5114,10,10228,12785.0,0.18708497608868163
Texas,4-Mar,28995881,12561,7,25122,31402.5,0.1082998650739393
Utah,7-Mar,3205958,2206,9,4412,5515.0,0.1720234638133126
Vermont,8-Mar,623989,711,9,1422,1777.5,0.2848607908152227
Virgin Islands,13-Mar,107268,51,13,102,127.5,0.11886117015326099
Virginia,8-Mar,8535519,5077,6,10154,12692.5,0.1487021468758959
Washington,27-Feb,7614893,9887,11,19774,24717.5,0.32459418668128365
West Virginia,17-Mar,1792147,577,7,1154,1442.5,0.08049004908637516
Wisconsin,5-Feb,5822434,3213,10,6426,8032.5,0.13795776817736363
Wyoming,12-Mar,578759,261,10,522,652.5,0.11274122735024424
