state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,28206,24,56412,70515.0,1.4381468372088755
Alaska,13-Mar,710249,708,32,1416,1770.0,0.24920837621735475
Arizona,4-Mar,7278717,43442,14,86884,108605.0,1.4920898834231362
Arkansas,12-Mar,3017804,13928,18,27856,34820.0,1.1538191347085496
California,26-Jan,39512223,161099,29,322198,402747.5,1.0192985092233358
Colorado,6-Mar,5758736,29673,48,59346,74182.5,1.2881733074758073
Connecticut,8-Mar,3565287,45440,56,90880,113600.0,3.1862792532550674
Delaware,11-Mar,973764,10499,44,20998,26247.5,2.6954683064890466
District of Columbia,8-Mar,705749,9903,45,19806,24757.5,3.507975214984364
Florida,1-Mar,21477737,85926,33,171852,214815.0,1.000175204678221
Georgia,2-Mar,10617423,60912,42,121824,152280.0,1.4342463326552968
Guam,15-Mar,162742,193,75,386,482.5,0.29648154748006045
Hawaii,6-Mar,1415872,744,72,1488,1860.0,0.13136780725941327
Idaho,14-Mar,1787065,3632,52,7264,9080.0,0.508095676430348
Illinois,24-Jan,12671821,135639,42,271278,339097.5,2.675996606959647
Indiana,6-Mar,6732219,41438,44,82876,103595.0,1.538794266793757
Iowa,9-Mar,3155070,24854,37,49708,62135.0,1.9693699347399582
Kansas,8-Mar,2913314,11681,42,23362,29202.5,1.002380793831355
Kentucky,7-Mar,4467673,13197,36,26394,32992.5,0.7384716831334791
Louisiana,9-Mar,4648794,48634,57,97268,121585.0,2.6154095019052255
Maine,12-Mar,1344212,2878,37,5756,7195.0,0.5352578313539829
Maryland,6-Mar,6045680,63229,39,126458,158072.5,2.614635574492861
Massachusetts,1-Feb,6939373,106422,53,212844,266055.0,3.833991918290024
Michigan,11-Mar,9996000,66798,57,133596,166995.0,1.6706182472989195
Minnesota,7-Mar,5639632,31675,31,63350,79187.5,1.4041253046298057
Mississippi,12-Mar,2976149,20641,34,41282,51602.5,1.733868163186722
Missouri,8-Mar,6137428,16908,45,33816,42270.0,0.6887249838205841
Montana,12-Mar,1068778,655,71,1310,1637.5,0.15321236028436214
Nebraska,7-Mar,1934408,17226,36,34452,43065.0,2.2262625051178446
Nevada,5-Mar,3080156,12076,37,24152,30190.0,0.9801451614788342
New Hampshire,2-Mar,1359711,5436,41,10872,13590.0,0.9994770947649905
New Jersey,4-Mar,8882190,168107,60,336214,420267.5,4.731575208366405
New Mexico,11-Mar,2096829,10065,36,20130,25162.5,1.200026325465739
New York,1-Mar,19453561,385760,65,771520,964400.0,4.9574471224060215
North Carolina,3-Mar,10488084,48188,22,96376,120470.0,1.1486368720921762
North Dakota,12-Mar,762062,3193,35,6386,7982.5,1.0474869498807184
Northern Mariana Islands,28-Mar,57476,30,41,60,75.0,0.13048924768599068
Ohio,9-Mar,11689100,43122,42,86244,107805.0,0.9222694647149909
Oklahoma,7-Mar,3956971,8904,38,17808,22260.0,0.5625515072008362
Oregon,28-Feb,4217737,6366,37,12732,15915.0,0.3773350495775341
Pennsylvania,6-Mar,12801989,80236,52,160472,200590.0,1.5668658987287054
Puerto Rico,13-Mar,3193694,6111,25,12222,15277.5,0.4783645521455719
Rhode Island,7-Mar,1059361,16269,50,32538,40672.5,3.8393427736154155
South Carolina,7-Mar,5148714,21548,20,43096,53870.0,1.0462806829045077
South Dakota,11-Mar,884659,6109,41,12218,15272.5,1.7263714041229445
Tennessee,5-Mar,6833793,32829,34,65658,82072.5,1.200980187722982
Texas,4-Mar,28995881,99851,27,199702,249627.5,0.8609067612051519
US Virgin Islands,13-Mar,107268,73,76,146,182.5,0.1701346161017265
Utah,7-Mar,3205958,15839,26,31678,39597.5,1.2351222317946773
Vermont,8-Mar,623989,1135,72,2270,2837.5,0.4547355802746523
Virginia,8-Mar,8535519,56238,34,112476,140595.0,1.6471757604897839
Washington,27-Feb,7614893,26784,54,53568,66960.0,0.8793294928766563
West Virginia,17-Mar,1792147,2418,43,4836,6045.0,0.3373049197415167
Wisconsin,5-Feb,5822434,23876,32,47752,59690.0,1.025172633987779
Wyoming,12-Mar,578759,1144,44,2288,2860.0,0.49416078194896323
