state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Northern Mariana Islands,28-Mar,57476,14,17,28,35,0.060894982
Puerto Rico,13-Mar,3193694,1252,12,2504,3130,0.098005632
Montana,12-Mar,1068778,433,18,866,1082.5,0.101283896
Hawaii,6-Mar,1415872,580,17,1160,1450,0.102410387
Minnesota,7-Mar,5639632,2470,11,4940,6175,0.10949296
Alaska,13-Mar,710249,321,17,642,802.5,0.112988543
Oregon,28-Feb,4217737,1956,16,3912,4890,0.11593895
West Virginia,17-Mar,1792147,920,12,1840,2300,0.128337687
Wyoming,12-Mar,578759,313,17,626,782.5,0.135203081
Arkansas,12-Mar,3017804,1923,12,3846,4807.5,0.15930458
North Carolina,3-Mar,10488084,6764,12,13528,16910,0.161230593
Maine,12-Mar,1344212,875,16,1750,2187.5,0.162734747
Kentucky,7-Mar,4467673,2960,11,5920,7400,0.165634325
Texas,4-Mar,28995881,19458,11,38916,48645,0.167765208
Oklahoma,7-Mar,3956971,2680,14,5360,6700,0.169321433
Kansas,8-Mar,2913314,1986,12,3972,4965,0.170424472
Arizona,4-Mar,7278717,5064,13,10128,12660,0.173931752
Nebraska,7-Mar,1934408,1474,9,2948,3685,0.190497558
Wisconsin,5-Feb,5822434,4499,15,8998,11247.5,0.193175225
California,26-Jan,39512223,30978,13,61956,77445,0.196002639
North Dakota,12-Mar,762062,627,8,1254,1567.5,0.205691925
South Carolina,7-Mar,5148714,4377,14,8754,10942.5,0.212528798
New Mexico,11-Mar,2096829,1845,11,3690,4612.5,0.219975019
Idaho,14-Mar,1787065,1672,18,3344,4180,0.233903076
Missouri,8-Mar,6137428,5807,13,11614,14517.5,0.236540453
Iowa,9-Mar,3155070,3159,8,6318,7897.5,0.250311404
Utah,7-Mar,3205958,3213,14,6426,8032.5,0.250549134
New Hampshire,2-Mar,1359711,1392,13,2784,3480,0.255936739
Alabama,13-Mar,4903185,5025,12,10050,12562.5,0.256211014
Virginia,8-Mar,8535519,8990,10,17980,22475,0.263311464
Tennessee,5-Mar,6833793,7238,14,14476,18095,0.264787066
Ohio,9-Mar,11689100,12516,9,25032,31290,0.267685279
Florida,1-Mar,21477737,26600,14,53200,66500,0.309622937
Nevada,5-Mar,3080156,3830,14,7660,9575,0.310860878
Vermont,8-Mar,623989,816,17,1632,2040,0.32692884
Mississippi,12-Mar,2976149,4512,10,9024,11280,0.379013282
Washington,27-Feb,7614893,11790,18,23580,29475,0.387070442
Colorado,6-Mar,5758736,9730,14,19460,24325,0.422401721
Indiana,6-Mar,6732219,11686,12,23372,29215,0.433957957
Georgia,2-Mar,10617423,18947,12,37894,47367.5,0.446129913
South Dakota,11-Mar,884659,1685,7,3370,4212.5,0.476172175
Maryland,6-Mar,6045680,13684,10,27368,34210,0.565858597
Illinois,24-Jan,12671821,31508,11,63016,78770,0.621615473
Pennsylvania,6-Mar,12801989,33232,12,66464,83080,0.648961657
Delaware,11-Mar,973764,2745,10,5490,6862.5,0.704739547
Michigan,11-Mar,9996000,32000,15,64000,80000,0.800320128
DC,8-Mar,705749,2927,11,5854,7317.5,1.03684171
Rhode Island,7-Mar,1059361,5090,8,10180,12725,1.201195815
Louisiana,9-Mar,4648794,24523,16,49046,61307.5,1.318782893
Massachusetts,1-Feb,6939373,38077,11,76154,95192.5,1.37177379
Connecticut,8-Mar,3565287,19815,11,39630,49537.5,1.389439335
New Jersey,4-Mar,8882190,88806,13,177612,222015,2.499552475
New York,1-Mar,19453561,247512,15,495024,618780,3.180805818
