state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,11523,22,23046,28807.5,0.5875262711890332
Alaska,13-Mar,710249,392,40,784,980.0,0.1379797789226032
Arizona,4-Mar,7278717,13631,18,27262,34077.5,0.4681800377731405
Arkansas,12-Mar,3017804,4578,24,9156,11445.0,0.3792492819281835
California,26-Jan,39512223,76793,22,153586,191982.5,0.4858812929862235
Colorado,6-Mar,5758736,21232,23,42464,53080.0,0.9217300463157193
Connecticut,8-Mar,3565287,36703,27,73406,91757.5,2.5736357269414776
DC,8-Mar,705749,7042,21,14084,17605.0,2.4945129217327975
Delaware,11-Mar,973764,7547,21,15094,18867.5,1.9375844660513224
Florida,1-Mar,21477737,44811,30,89622,112027.5,0.5215982484560641
Georgia,2-Mar,10617423,37147,26,74294,92867.5,0.8746708123053966
Guam,15-Mar,162742,154,45,308,385.0,0.2365707684555923
Hawaii,6-Mar,1415872,638,42,1276,1595.0,0.11265142611761515
Idaho,14-Mar,1787065,2389,37,4778,5972.5,0.33420720566963147
Illinois,24-Jan,12671821,92457,18,184914,231142.5,1.8240669592791754
Indiana,6-Mar,6732219,27280,22,54560,68200.0,1.0130389400582482
Iowa,9-Mar,3155070,14328,16,28656,35820.0,1.1353155397503067
Kansas,8-Mar,2913314,7886,17,15772,19715.0,0.6767207379637074
Kentucky,7-Mar,4467673,7444,20,14888,18610.0,0.4165479434148381
Louisiana,9-Mar,4648794,34117,38,68234,85292.5,1.8347231561561987
Maine,12-Mar,1344212,1648,27,3296,4120.0,0.3064992724361931
Maryland,6-Mar,6045680,37968,19,75936,94920.0,1.5700467110399492
Massachusetts,1-Feb,6939373,84933,25,169866,212332.5,3.0598225516916298
Michigan,11-Mar,9996000,50504,33,101008,126260.0,1.2631052420968387
Minnesota,7-Mar,5639632,14969,11,29938,37422.5,0.6635627998422592
Mississippi,12-Mar,2976149,11123,21,22246,27807.5,0.9343450210322131
Missouri,8-Mar,6137428,10675,28,21350,26687.5,0.4348319849943657
Montana,12-Mar,1068778,468,43,936,1170.0,0.10947081620317783
Nebraska,7-Mar,1934408,9772,14,19544,24430.0,1.2629186810641808
Nevada,5-Mar,3080156,6662,30,13324,16655.0,0.5407193661619736
New Hampshire,2-Mar,1359711,3464,20,6928,8660.0,0.6369000471423707
New Jersey,4-Mar,8882190,145089,30,290178,362722.5,4.083705707713976
New Mexico,11-Mar,2096829,5662,17,11324,14155.0,0.6750669701725797
New York,1-Mar,19453561,348232,35,696464,870580.0,4.47517038140215
North Carolina,3-Mar,10488084,17982,19,35964,44955.0,0.4286292901544267
North Dakota,12-Mar,762062,1848,19,3696,4620.0,0.6062498851799459
Northern Mariana Islands,28-Mar,57476,21,33,42,52.5,0.09134247338019347
Ohio,9-Mar,11689100,27474,23,54948,68685.0,0.5875987030652489
Oklahoma,7-Mar,3956971,5237,26,10474,13092.5,0.3308717703516149
Oregon,28-Feb,4217737,3612,28,7224,9030.0,0.21409585282344537
Pennsylvania,6-Mar,12801989,61611,27,123222,154027.5,1.2031528850712183
Puerto Rico,13-Mar,3193694,2589,21,5178,6472.5,0.20266500171901253
Rhode Island,7-Mar,1059361,12434,23,24868,31085.0,2.9343160641178976
South Carolina,7-Mar,5148714,8407,26,16814,21017.5,0.4082087294031092
South Dakota,11-Mar,884659,3959,22,7918,9897.5,1.1187926647442687
Tennessee,5-Mar,6833793,17288,22,34576,43220.0,0.6324452613651014
Texas,4-Mar,28995881,46999,20,93998,117497.5,0.4052213485080864
Utah,7-Mar,3205958,7068,23,14136,17670.0,0.5511613065423814
Vermont,8-Mar,623989,934,42,1868,2335.0,0.3742053145167623
Virgin Islands,13-Mar,107268,69,44,138,172.5,0.1608121713838237
Virginia,8-Mar,8535519,29683,17,59366,74207.5,0.8693964596646085
Washington,27-Feb,7614893,17951,38,35902,44877.5,0.5893385501280188
West Virginia,17-Mar,1792147,1457,29,2914,3642.5,0.20324783625450368
Wisconsin,5-Feb,5822434,12187,18,24374,30467.5,0.523277721997364
Wyoming,12-Mar,578759,716,19,1432,1790.0,0.30928244744358185
