state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,1968,6,3936,4920.0,0.10034294035407597
Alaska,13-Mar,710249,191,9,382,477.5,0.06722994330157452
Arizona,4-Mar,7278717,2456,6,4912,6140.0,0.08435552584335948
Arkansas,12-Mar,3017804,875,8,1750,2187.5,0.07248648354896474
California,26-Jan,39512223,14336,6,28672,35840.0,0.09070610884130716
Colorado,6-Mar,5758736,4950,8,9900,12375.0,0.21489090661561844
Connecticut,8-Mar,3565287,6906,5,41436,51795.0,1.452758221147414
DC,8-Mar,705749,1097,6,2194,2742.5,0.38859424526283426
Delaware,11-Mar,973764,673,6,1346,1682.5,0.172783138419576
Florida,1-Mar,21477737,13324,5,79944,99930.0,0.46527248191930093
Georgia,2-Mar,10617423,7314,7,14628,18285.0,0.17221693060547744
Guam,15-Mar,162742,113,7,226,282.5,0.1735876417888437
Hawaii,6-Mar,1415872,371,7,742,927.5,0.06550733399629345
Idaho,14-Mar,1787065,1101,5,6606,8257.5,0.46207048988145366
Illinois,24-Jan,12671821,12262,6,24524,30655.0,0.241914717703162
Indiana,6-Mar,6732219,4944,5,29664,37080.0,0.5507842213689127
Iowa,9-Mar,3155070,946,6,1892,2365.0,0.07495871723923717
Kansas,8-Mar,2913314,845,6,1690,2112.5,0.07251192284800059
Kentucky,7-Mar,4467673,955,6,1910,2387.5,0.05343945270837861
Louisiana,9-Mar,4648794,14867,5,89202,111502.5,2.3985252949474636
Maine,12-Mar,1344212,499,8,998,1247.5,0.09280530154469682
Maryland,6-Mar,6045680,4045,5,24270,30337.5,0.5018045943549775
Massachusetts,1-Feb,6939373,13837,6,27674,34592.5,0.4984960456802077
Michigan,11-Mar,9996000,17221,6,34442,43052.5,0.4306972789115646
Minnesota,7-Mar,5639632,986,8,1972,2465.0,0.04370852566266735
Mississippi,12-Mar,2976149,1738,7,3476,4345.0,0.1459940345728658
Missouri,8-Mar,6137428,2722,6,5444,6805.0,0.1108770644641371
Montana,12-Mar,1068778,299,8,598,747.5,0.06993968812980807
Nebraska,7-Mar,1934408,409,5,2454,3067.5,0.15857564691626586
Nevada,5-Mar,3080156,1953,7,3906,4882.5,0.15851469860617448
New Hampshire,2-Mar,1359711,669,6,1338,1672.5,0.12300407954337356
New Jersey,4-Mar,8882190,41090,6,82180,102725.0,1.156527838292133
New Mexico,11-Mar,2096829,624,5,3744,4680.0,0.22319416604787515
New York,1-Mar,19453561,130689,7,261378,326722.5,1.679499707020221
North Carolina,3-Mar,10488084,2870,6,5740,7175.0,0.06841097001130045
North Dakota,12-Mar,762062,225,7,450,562.5,0.07381289186444148
Northern Mariana Islands,28-Mar,57476,8,5,48,60.0,0.10439139814879254
Ohio,9-Mar,11689100,4450,6,8900,11125.0,0.09517413658878784
Oklahoma,7-Mar,3956971,1327,6,2654,3317.5,0.08383938118323334
Oregon,28-Feb,4217737,1068,9,2136,2670.0,0.06330408937304531
Pennsylvania,6-Mar,12801989,12980,5,77880,97350.0,0.760428711507251
Puerto Rico,13-Mar,3193694,513,6,1026,1282.5,0.04015725990029101
Rhode Island,7-Mar,1059361,1082,5,6492,8115.0,0.7660278224325796
South Carolina,7-Mar,5148714,2049,7,4098,5122.5,0.09949086315534325
South Dakota,11-Mar,884659,288,5,1728,2160.0,0.2441618748014772
Tennessee,5-Mar,6833793,3802,7,7604,9505.0,0.13908820474954392
Texas,4-Mar,28995881,7276,6,14552,18190.0,0.06273304818708561
Utah,7-Mar,3205958,1675,7,3350,4187.5,0.1306161839924291
Vermont,8-Mar,623989,543,7,1086,1357.5,0.2175519119728072
Virgin Islands,13-Mar,107268,43,9,86,107.5,0.10021628071745535
Virginia,8-Mar,8535519,2878,5,17268,21585.0,0.2528844467454176
Washington,27-Feb,7614893,7984,9,15968,19960.0,0.2621179312696843
West Virginia,17-Mar,1792147,345,6,690,862.5,0.04812663246932311
Wisconsin,5-Feb,5822434,2440,7,4880,6100.0,0.10476718156015165
Wyoming,12-Mar,578759,210,6,420,525.0,0.09071133235077122
